yearRegister,gender,majorityStatus,isForcedLabour,isSexualExploit,UN_COO_Region,UN_COE_Region,IP_Exploiter,IP_Gender,IP_ageBroad,IP_citizen_UNRegion,IP_Relation,IP_PayMoney,IP_RecruiterBroker,IP_TransactionProcess,IP_ControlAbuseKidnap,0--29,30--38,39--47,48+,Unknown,Africa,Americas/Oceania,Asia,Europe,Unknown,FamilyIntimatePartner,FriendAcquaintance,StrangerUnknownOther,Unknown
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2014-2018,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2014-2018,Male,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2014-2018,Male,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2014-2018,Male,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2014-2018,Male,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2014-2018,Male,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2014-2018,Male,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2014-2018,Male,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2014-2018,Male,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2019,Female,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2019,Female,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2019,Female,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2019,Female,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2019,Female,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2019,Female,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2019,Female,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2019,Female,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2019,Female,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2019,Female,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2019,Female,Adult,1,0,Asia,Asia,1,Female;Male,Unknown,Asia,FriendAcquaintance;StrangerUnknownOther,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Male,Unknown,Europe,FriendAcquaintance;StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,StrangerUnknownOther,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2019,Female,Adult,1,0,Europe,Europe,1,Female;Male,Unknown,Europe,FriendAcquaintance,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
